GO:0034359	mature chylomicron
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0031462	Cul2-RING ubiquitin ligase complex
GO:0042995	cell projection
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex
GO:0031465	Cul4B-RING E3 ubiquitin ligase complex
GO:0031466	Cul5-RING ubiquitin ligase complex
GO:0031467	Cul7-RING ubiquitin ligase complex
GO:0000015	phosphopyruvate hydratase complex
GO:0099160	postsynaptic intermediate filament cytoskeleton
GO:0008250	oligosaccharyltransferase complex
GO:0099189	postsynaptic spectrin-associated cytoskeleton
GO:0099182	presynaptic intermediate filament cytoskeleton
GO:0036064	ciliary basal body
GO:0043033	isoamylase complex
GO:0018444	translation release factor complex
GO:0014802	terminal cisterna
GO:0014801	longitudinal sarcoplasmic reticulum
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0014804	terminal cisterna lumen
GO:0010494	cytoplasmic stress granule
GO:0036117	hyaluranon cable
GO:0019005	SCF ubiquitin ligase complex
GO:0019008	molybdopterin synthase complex
GO:0070691	P-TEFb complex
GO:0070695	FHF complex
GO:0070274	RES complex
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0019774	proteasome core complex, beta-subunit complex
GO:0055120	striated muscle dense body
GO:0000808	origin recognition complex
GO:0000806	Y chromosome
GO:0000805	X chromosome
GO:0000802	transverse filament
GO:0000803	sex chromosome
GO:0000800	lateral element
GO:0000801	central element
GO:0035976	transcription factor AP-1 complex
GO:0034245	mitochondrial DNA-directed RNA polymerase complex
GO:0120293	dynein axonemal particle
GO:0032588	trans-Golgi network membrane
GO:0032589	neuron projection membrane
GO:0032580	Golgi cisterna membrane
GO:0032587	ruffle membrane
GO:0032584	growth cone membrane
GO:0032585	multivesicular body membrane
GO:0035805	egg coat
GO:0030981	cortical microtubule cytoskeleton
GO:0097598	sperm cytoplasmic droplet
GO:0005818	aster
GO:0005819	spindle
GO:0097344	Rix1 complex
GO:0097208	alveolar lamellar body
GO:0005813	centrosome
GO:0005811	lipid droplet
GO:0005814	centriole
GO:0005815	microtubule organizing center
GO:0033181	plasma membrane proton-transporting V-type ATPase complex
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0033185	dolichol-phosphate-mannose synthase complex
GO:0033186	CAF-1 complex
GO:0016533	protein kinase 5 complex
GO:0017119	Golgi transport complex
GO:0097342	ripoptosome
GO:0005854	nascent polypeptide-associated complex
GO:0002096	polkadots
GO:0002095	caveolar macromolecular signaling complex
GO:0034751	aryl hydrocarbon receptor complex
GO:0034750	Scrib-APC-beta-catenin complex
GO:0034752	cytosolic aryl hydrocarbon receptor complex
GO:0005607	laminin-2 complex
GO:0005606	laminin-1 complex
GO:0005604	basement membrane
GO:0005602	complement component C1 complex
GO:0042719	mitochondrial intermembrane space protein transporter complex
GO:0005608	laminin-3 complex
GO:0097462	Lewy neurite
GO:0046695	SLIK (SAGA-like) complex
GO:0043293	apoptosome
GO:0046696	lipopolysaccharide receptor complex
GO:0043296	apical junction complex
GO:0000242	pericentriolar material
GO:0000243	commitment complex
GO:0035370	UBC13-UEV1A complex
GO:0035371	microtubule plus-end
GO:1990730	VCP-NSFL1C complex
GO:0035578	azurophil granule lumen
GO:0035579	specific granule membrane
GO:0120115	Lsm2-8 complex
GO:0120114	Sm-like protein family complex
GO:0072357	PTW/PP1 phosphatase complex
GO:0035577	azurophil granule membrane
GO:0030054	cell junction
GO:0030055	cell-substrate junction
GO:0005779	integral component of peroxisomal membrane
GO:0005778	peroxisomal membrane
GO:0005773	vacuole
GO:0005771	multivesicular body
GO:0005770	late endosome
GO:0005777	peroxisome
GO:0005776	autophagosome
GO:0005664	nuclear origin of replication recognition complex
GO:0009841	mitochondrial endopeptidase Clp complex
GO:0031906	late endosome lumen
GO:0031905	early endosome lumen
GO:0031904	endosome lumen
GO:0031902	late endosome membrane
GO:0031901	early endosome membrane
GO:0097575	lateral cell cortex
GO:0031588	nucleotide-activated protein kinase complex
GO:1990023	mitotic spindle midzone
GO:0045180	basal cortex
GO:0036477	somatodendritic compartment
GO:0070876	SOSS complex
GO:0070877	microprocessor complex
GO:0010369	chromocenter
GO:0002079	inner acrosomal membrane
GO:0031597	cytosolic proteasome complex
GO:1990038	Lewy body corona
GO:1903143	adrenomedullin receptor complex
GO:0098591	external side of apical plasma membrane
GO:0098592	cytoplasmic side of apical plasma membrane
GO:0098595	perivitelline space
GO:0098594	mucin granule
GO:0031261	DNA replication preinitiation complex
GO:0098753	anchored component of the cytoplasmic side of the plasma membrane
GO:0098752	integral component of the cytoplasmic side of the plasma membrane
GO:0031477	myosin VII complex
GO:0031475	myosin V complex
GO:0031673	H zone
GO:0031672	A band
GO:0031674	I band
GO:0009295	nucleoid
GO:0055028	cortical microtubule
GO:0099400	caveola neck
GO:0045335	phagocytic vesicle
GO:0045334	clathrin-coated endocytic vesicle
GO:0001674	female germ cell nucleus
GO:0036053	glomerular endothelium fenestra
GO:0001673	male germ cell nucleus
GO:0036057	slit diaphragm
GO:0090619	meiotic spindle pole
GO:0012505	endomembrane system
GO:0032807	DNA ligase IV complex
GO:0032777	Piccolo NuA4 histone acetyltransferase complex
GO:0032809	neuronal cell body membrane
GO:0090575	RNA polymerase II transcription regulator complex
GO:0090571	RNA polymerase II transcription repressor complex
GO:0043614	multi-eIF complex
GO:0008622	epsilon DNA polymerase complex
GO:0008623	CHRAC
GO:0070044	synaptobrevin 2-SNAP-25-syntaxin-1a complex
GO:0036126	sperm flagellum
GO:0034718	SMN-Gemin2 complex
GO:0070685	macropinocytic cup
GO:0032116	SMC loading complex
GO:0071797	LUBAC complex
GO:1990909	Wnt signalosome
GO:0000818	nuclear MIS12/MIND complex
GO:0000815	ESCRT III complex
GO:0000814	ESCRT II complex
GO:1990904	ribonucleoprotein complex
GO:0008537	proteasome activator complex
GO:0000813	ESCRT I complex
GO:0000812	Swr1 complex
GO:0070461	SAGA-type complex
GO:0070469	respirasome
GO:0070319	Golgi to plasma membrane transport vesicle
GO:0034506	chromosome, centromeric core domain
GO:0150058	amylin receptor complex 3
GO:0150051	postsynaptic Golgi apparatus
GO:0150057	amylin receptor complex 2
GO:0150056	amylin receptor complex 1
GO:0043265	ectoplasm
GO:0043260	laminin-11 complex
GO:0032591	dendritic spine membrane
GO:0032590	dendrite membrane
GO:0032593	insulin-responsive compartment
GO:0032592	integral component of mitochondrial membrane
GO:1904949	ATPase complex
GO:0035657	eRF1 methyltransferase complex
GO:0072687	meiotic spindle
GO:0072686	mitotic spindle
GO:0030992	intraciliary transport particle B
GO:0030991	intraciliary transport particle A
GO:0030990	intraciliary transport particle
GO:0016342	catenin complex
GO:0035749	myelin sheath adaxonal region
GO:0035748	myelin sheath abaxonal region
GO:0072536	interleukin-23 receptor complex
GO:0072534	perineuronal net
GO:0005801	cis-Golgi network
GO:0005802	trans-Golgi network
GO:0043596	nuclear replication fork
GO:0016507	mitochondrial fatty acid beta-oxidation multienzyme complex
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
GO:0070554	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex
GO:0035102	PRC1 complex
GO:0035101	FACT complex
GO:0030427	site of polarized growth
GO:0030426	growth cone
GO:0030425	dendrite
GO:0030424	axon
GO:0000323	lytic vacuole
GO:0005944	phosphatidylinositol 3-kinase complex, class IB
GO:0005945	6-phosphofructokinase complex
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005940	septin ring
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0005943	phosphatidylinositol 3-kinase complex, class IA
GO:0099699	integral component of synaptic membrane
GO:0005948	acetolactate synthase complex
GO:0035580	specific granule lumen
GO:0048179	activin receptor complex
GO:0035363	histone locus body
GO:0031501	mannosyltransferase complex
GO:1990589	ATF4-CREB1 transcription factor complex
GO:1990234	transferase complex
GO:1990584	cardiac Troponin complex
GO:1990204	oxidoreductase complex
GO:0060091	kinocilium
GO:0061851	leading edge of lamellipodium
GO:0097362	MCM8-MCM9 complex
GO:0097361	CIA complex
GO:0031463	Cul3-RING ubiquitin ligase complex
GO:0035658	Mon1-Ccz1 complex
GO:0034451	centriolar satellite
GO:0036464	cytoplasmic ribonucleoprotein granule
GO:0070860	RNA polymerase I core factor complex
GO:0010370	perinucleolar chromocenter
GO:1902937	inward rectifier potassium channel complex
GO:0034399	nuclear periphery
GO:0034993	meiotic nuclear membrane microtubule tethering complex
GO:0034991	nuclear meiotic cohesin complex
GO:0034990	nuclear mitotic cohesin complex
GO:0034998	oligosaccharyltransferase I complex
GO:0042734	presynaptic membrane
GO:0055038	recycling endosome membrane
GO:0055037	recycling endosome
GO:0001669	acrosomal vesicle
GO:0036284	tubulobulbar complex
GO:0008385	IkappaB kinase complex
GO:0099524	postsynaptic cytosol
GO:0099523	presynaptic cytosol
GO:0032299	ribonuclease H2 complex
GO:0032991	protein-containing complex
GO:0045298	tubulin complex
GO:0034974	Swi5-Swi2 complex
GO:0032998	Fc-epsilon receptor I complex
GO:0071782	endoplasmic reticulum tubular network
GO:0016035	zeta DNA polymerase complex
GO:1990917	ooplasm
GO:1990913	sperm head plasma membrane
GO:0033503	HULC complex
GO:0099029	anchored component of presynaptic active zone membrane
GO:0070418	DNA-dependent protein kinase complex
GO:0070419	nonhomologous end joining complex
GO:0101031	chaperone complex
GO:0001931	uropod
GO:0062023	collagen-containing extracellular matrix
GO:0001939	female pronucleus
GO:0034423	autophagosome lumen
GO:0070522	ERCC4-ERCC1 complex
GO:0032127	dense core granule membrane
