C0220597	Adult Hodgkin Lymphoma
C4477049	Hypoplasia of the olfactory bulb
C4477048	Heliotrope rash
C2712743	Tumor lysis syndrome (spontaneous)
C0743924	Short fetal femur length
C0027609	Neonatal Abstinence Syndrome
C0495706	elevated blood glucose level
C1142214	Abdominal cocoon
C1142216	Epimacular membrane
C3715164	LEBER CONGENITAL AMAUROSIS 17
C3715165	LEFT VENTRICULAR NONCOMPACTION 10
C0035469	Rhinosporidiosis
C0035468	Rhinoscleroma
C0035460	Rhinitis, Vasomotor
C0017689	Glucagonoma
C4724097	Malignant Ovarian Teratoma
C4524187	Duodenal-type follicular lymphoma
C4524186	Double expressor lymphoma
C4524188	In situ follicular lymphoma
C4302876	Oligocone trichromacy
C4282398	Sialidase deficiency
C0729233	Dissecting aneurysm of the thoracic aorta
C3489725	Pseudo-TORCH syndrome
C0869523	Carditis
C0919267	ovarian neoplasm
C0422837	Neurological observations
C1835039	Melanosis, Universal
C0020555	Hypertrichosis
C0020557	Hypertriglyceridemia
C0020551	Hyperthyroxinemia
C0020550	Hyperthyroidism
C0017536	Giardiasis
C1561643	Chronic Kidney Diseases
C1963916	Diabetic peripheral neuropathic pain
C0405469	Granulomatous Mastitis
C1516974	Estrogen Receptor Status - Clinical Trial Eligibility Criteria
C0333297	Chronic ulcer
C0333295	Acute ulcer
C0333294	Recurrent ulcer
C0333293	Healing ulcer
C1857276	Trichohepatoenteric Syndrome
C0333291	Bleeding ulcer
C1857278	Partial or complete agenesis of corpus callosum
C4288921	Idiopathic Membranous Glomerulopathy
C0023600	Leydig cell hyperplasia
C0023601	Leydig Cell Tumor
C0241654	Abnormal heart valve morphology
C0241657	Abnormality of the vasculature
C0339864	Bifid epiglottis
C0457540	Mural unicystic ameloblastoma
C1832567	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1C
C1832560	RIPPLING MUSCLE DISEASE 2 (disorder)
C1527225	Radiation-induced disorder
C0021603	Sleep Initiation and Maintenance Disorders
C3554113	Thin toenail
C1998061	Malassezia folliculitis
C2718304	Sulfoiduronate Sulfatase Deficiency
C0152208	Hypotropia
C0235969	Disorder of ejaculation
C0235964	Renal dysgenesis
C1443228	Carnitine Acetyltransferase Deficiency
C4014942	CATARACTS, GROWTH HORMONE DEFICIENCY, SENSORY NEUROPATHY, SENSORINEURAL HEARING LOSS, AND SKELETAL DYSPLASIA
C4225431	CHROMOSOME 10p12-p11 DELETION SYNDROME
C1956130	Lymphoma, Follicular, Grade 1
C1956131	Lymphoma, Follicular, Grade 3
C1956132	Lymphoma, Follicular, Grade 2
C3825246	Diabetes in old age
C4025901	Abnormality of body height
C4024809	Chorioretinal dysplasia
C0279737	low-grade salivary gland carcinoma
C0155003	Blindness, Transient
C4024803	Posterior retinal neovascularization
C0279738	Acinic cell carcinoma of salivary gland
C1867005	Scapuloperoneal Syndrome, Neurogenic, Kaeser Type
C1867003	Axillary apocrine gland hypoplasia
C1867000	Hypoplastic/absent/deformed radius
C1866351	Peroxisome Biogenesis Disorder, Complementation Group 11
C1866352	Peroxisome Biogenesis Disorder, Complementation Group R
C4274665	Logopenic progressive aphasia
C4040349	Bacteremia due to Methicillin resistant Staphylococcus aureus
C0751668	Machado-Joseph Disease Type I
C0751669	Machado-Joseph Disease Type II
C0751663	Canavan Disease, Familial Form
C1853223	Deafness, Autosomal Recessive 67
C0751666	Canavan Disease, Infantile
C0751667	Canavan Disease, Juvenile
C0751664	Canavan Disease, Neonatal
C0751665	Canavan Disease, Sporadic Form
C1849193	PEELING SKIN SYNDROME
C0349515	Amelanotic Skin Melanoma
C1849198	Opacification of the corneal epithelium
C0349516	Isolated aortic stenosis
C1868581	Patella aplasia, coxa vara, tarsal synostosis
C4237343	Overweight or obesity
C3489395	Hyperchylomicronemia With Hyperprebetalipoproteinemia, Familial
C0272217	Atypical lymphoproliferative disorder
C0576227	Narrow foot
C0576226	Short foot
C0576225	Long foot
C4478701	Focal cortical dysplasia type IIb
C4478700	Focal cortical dysplasia type IIa
C4539078	Supraumbilical raphe
C2112942	Preaxial foot polydactyly
C0013428	Dysuria
C2919194	Sporadic olivopontocerebellar atrophy
C2750473	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 2
C2750471	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8
C2750475	Focal Segmental Glomerulosclerosis 5
C4017713	APOLIPOPROTEIN A-I (NORWAY) PHENOTYPE
C3489398	Neuroepithelioma, Peripheral
C1510460	Orofaciodigital Syndrome I
C0474520	Myokymia, Generalized
C1863200	Lacrimal gland hypoplasia
C0018413	Gynandroblastoma
C1863204	ADULT SYNDROME
C0018418	Gynecomastia
C1848178	Female external genitalia in individual with 46,XY karyotype
C4693950	POLYCYSTIC KIDNEY DISEASE 3 WITHOUT POLYCYSTIC LIVER DISEASE
C1861517	Abnormal facility in opposing the shoulders
C1861516	Cleidocranial Dysplasia, Forme Fruste, With Brachydactyly
C4016396	LEUKEMIA, PHILADELPHIA CHROMOSOME-POSITIVE, RESISTANT TO IMATINIB
C3280768	Abnormality of the posterior cranial fossa
C4016398	COSTELLO SYNDROME, SEVERE
C3280766	JOUBERT SYNDROME 14
C1861519	Moderately short stature
C0002136	Allogenic disease
C0086652	Mucopolysaccharidosis type IVB
C0086650	MPS III D
C0086651	Mucopolysaccharidosis, MPS-IV-A
C0852920	Colitis aggravated
C4281771	Thin eyebrow
C2239222	Vascular Endothelial Growth Factor Measurement
C0342257	Complications of Diabetes Mellitus
C3807907	CAP MYOPATHY 2
C1855310	Megaepiphyseal dwarfism
C1855311	Megacystis
C3554724	Complete duplication of thumb phalanx
C3554721	Morning glory anomaly
C4021560	Posterior Y-sutural cataract
C4040834	Inflammation of fetal umbilical artery
C0796663	Childhood Testicular Germ Cell Tumor
C0009714	Hepatic Fibrosis, Congenital
C0796664	Childhood Ovarian Germ Cell Tumor
C0268365	Marfanoid hypermobility syndrome
C0268360	Osteogenesis imperfecta, recessive perinatal lethal
C0524988	Schnitzler Syndrome
C0268362	Osteogenesis imperfecta type III (disorder)
C0268363	Osteogenesis imperfecta type IV (disorder)
C3897045	Short Stature Homeobox Deficiency
C3897042	Smoldering Systemic Mastocytosis
C4016973	NEUROPATHY, AXONAL, WITH VOCAL CORD PARESIS, AUTOSOMAL RECESSIVE
C4016970	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), TYPE B, 5
C0344487	Lateral meningocele
C0344482	Hypoplasia of corpus callosum
C0432442	Chromosome 18p deletion syndrome
C0432443	Deletion of long arm of chromosome 18
C1835993	Loss of ability to walk in early childhood
C4023710	Palmar hyperkeratosis
C4317009	Diverticular Diseases
C0741933	cardiac symptom
C4023719	Spontaneous rupture of the globe
C0235150	Feeling Cold
C0235153	Hallucinations, Sensory
C0345288	Liver hyperplasia
C0271725	Iatrogenic Cushing's disease
C0271728	Secondary hyperaldosteronism
C0345286	Abnormal liver lobulation
C3554182	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 15
C1336476	Stage I Pleural Malignant Mesothelioma AJCC v7
C3809084	MYOFIBROMATOSIS, INFANTILE, 2
C3809087	CILIARY DYSKINESIA, PRIMARY, 21
C0085677	Alcoholic Neuropathy
C0085679	Hyperchloremia
C1856660	Abnormality of the helix
C0341503	Bacterial peritonitis
C0268581	Holocarboxylase Synthetase Deficiency
C0268583	Methylmalonic acidemia
C3836857	MECKEL SYNDROME, TYPE 8
C2960127	Heart failure with normal ejection fraction
C4317006	Arthritis Pain
C0994516	Type 1 Duane Retraction Syndrome
C2960129	Vanishing white matter disease
C0266631	Accessory spleen
C0266632	Ectopic spleen
C0037188	Sinoatrial Block
C0267581	Rectal Stenosis
C0751868	Alcohol Withdrawal-Induced Major Motor Seizure
C0080178	Spina Bifida
C1842124	BRANCHIOOTIC SYNDROME 3 (disorder)
C0000768	Congenital Abnormality
C2677132	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9 (disorder)
C1262313	Invasive Fungal Infections
C0521857	Increased drug resistance
C0521853	Increased drug tolerance
C4014534	CILIARY DYSKINESIA, PRIMARY, 29
C4479424	DIAMOND-BLACKFAN ANEMIA 16
C4014531	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 24
C0266184	Congenital duodenal obstruction due to malrotation of intestine
C0080174	Spina Bifida Occulta
C0585265	Hypoglossal Nerve Palsy
C2676840	LUMBAR DISC HERNIATION, SUSCEPTIBILITY TO
C4479428	DIAMOND-BLACKFAN ANEMIA 17
C4082168	Partial duplication of thumb phalanx
C4082169	Metatarsus Varus
C0281334	Adult Papillary Meningioma
C4082167	Periodic Fever, Aphthous Stomatitis, Pharyngitis, Adenitis Syndrome
C0281332	Adult Pineoblastoma
C0281331	Adult Pineocytoma
C0002963	Angina Pectoris, Variant
C0857501	Acute schizophrenia
C4748219	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 65
C0677628	Macular drusen
C0497169	hiv-infection/aids
C1511789	Desmoplastic
C4748212	IMMUNODEFICIENCY 57
C2609093	Pancreatic neuroendocrine tumour metastatic
C1274651	Hypopigmented scar
C3165062	May-Thurner Syndrome
C0022408	Arthropathy
C3888580	Malignant Bowel Obstruction
C1257798	Choledochal Cyst, Type IV
C1257799	Choledochal Cyst, Type V
C1257796	Choledochal Cyst, Type II
C1257797	Choledochal Cyst, Type III
C0746757	Chronic nasal congestion
C4310748	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 5
C4310749	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 26
C4310746	HERMANSKY-PUDLAK SYNDROME 10
C4310747	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5
C4310744	BONE MARROW FAILURE SYNDROME 3
C4310745	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 55
C4310742	CRISPONI/COLD-INDUCED SWEATING SYNDROME 3
C4310743	STRIATONIGRAL DEGENERATION, CHILDHOOD-ONSET
C4310740	MENTAL RETARDATION, AUTOSOMAL DOMINANT 44
C4310741	HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, 4
C0522035	Edema of the upper extremity
C4551974	DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1
C4551975	RADIOULNAR SYNOSTOSIS WITH AMEGAKARYOCYTIC THROMBOCYTOPENIA 1
C4551976	HYPOTRICHOSIS 1
C4551977	Microphthalmos, Autosomal Recessive
C4551970	Sclerotic vertebral endplates
C4074771	Sterility, Reproductive
C4551972	Mosaic variegated aneuploidy syndrome
C4551973	Miyoshi Muscular Dystrophy 1
C3266123	Serrated polyp
C4551978	Short forearm
C4551979	Nephronophthisis 1
C0162557	Liver Failure, Acute
C2936755	Familial Waldenstrom's Macroglobulinaemia
C1377610	Peritoneal Mesothelioma
C1833021	DEAFNESS, AUTOSOMAL DOMINANT 6
C1836057	Muscle fiber splitting
C1836050	Filaminopathy, autosomal dominant
C0010324	Crigler Najjar syndrome, type 1
C4275252	Familial spontaneous pneumothorax
C1332884	Central nervous system leukaemia
C4721769	Citrullinemia Type 1
C1332887	Central Nervous System Melanocytic Neoplasm
C2675767	EPIPHYSEAL DYSPLASIA, MULTIPLE, 6
C1332888	Central nervous system melanoma
C0178879	Urinary tract obstruction
C4721766	Unspecified secondary cataract
C1335355	Adenoid cystic carcinoma of parotid gland
C1335354	Parotid Gland Adenocarcinoma
C1335356	Carcinoma ex pleomorphic adenoma of parotid gland
C4054912	Fusion-Positive Alveolar Rhabdomyosarcoma
C0393953	Anterior Cerebral Circulation Infarction
C4054911	Fusion-Positive Rhabdomyosarcoma
C4054914	Fusion-Negative Alveolar Rhabdomyosarcoma
C1841679	Hand foot uterus syndrome
C0032463	Polycythemia Vera
C3806226	Ectopic calcification
C0032461	Polycythemia
C3806221	Giant melanosomes in melanocytes
C3164851	Palisaded myofibroblastoma
C0035112	Reoviridae Infections
C0025990	Micrognathism
C1850635	Atrial myxoma, familial
C0948216	Ovarian adenocarcinoma
C0025995	Micromelia
C4016792	PANCREATITIS, IDIOPATHIC, SUSCEPTIBILITY TO
C3854437	Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids
C3854434	Bone marrow infiltration
C0151491	Congenital musculoskeletal anomalies
C4016791	SWEAT CHLORIDE ELEVATION WITHOUT CYSTIC FIBROSIS
C2675184	Exocrine Pancreatic Insufficiency, Dyserythropoietic Anemia, and Calvarial Hyperostosis
C2675185	Kahrizi Syndrome
C2675186	LEBER CONGENITAL AMAUROSIS 13
C2675187	MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 7 (disorder)
C0040149	Subacute thyroiditis
C0220748	Cartilage-hair hypoplasia
C0220743	Childhood hypophosphatasia (disorder)
C0562350	Hip circumference
C0220744	Multiple gastrointestinal atresias (disorder)
C0040147	Thyroiditis
C3826590	Chest--Tumors
C3826591	Chest--Diseases
C2931019	Split hand foot deformity 1
C2931013	Cystinosis, benign, nonnephropathic
C4304840	Progressive cavitating leukoencephalopathy
C2931011	Congenital disorder of glycosylation, type 2G
C2931010	Congenital disorder of glycosylation type 2E
C2931015	Dandy Walker variant
C1833503	Deafness, Autosomal Dominant 4
C1709286	Null Cell Pituitary Gland Adenoma
C2746083	DEAFNESS, AUTOSOMAL RECESSIVE 77 (disorder)
C4082954	Hypoplasia of right ventricle
C4082951	Progressive spinal muscular atrophy
C4082952	Unilateral lung agenesis
C1112173	Transient psychosis
C1112174	Panencephalitis
C0302809	Fulminant hepatitis
C1852373	Mitochondrial encephalopathy
C1852372	MITOCHONDRIAL COMPLEX III DEFICIENCY (disorder)
C4284050	HEMOGLOBIN GAMBARA PHENOTYPE
C2721646	Aneurysm enlargement
C1519787	Undifferentiated Neuroblastoma
C4324584	Periprocedural myocardial infarction
C4288927	IFN-gamma Receptor 1 Deficiency
C0392707	Atopy
C0392702	Abnormal involuntary movement
C4509245	Stage D heart failure
C4722306	Metastatic Neuroblastoma
C4722305	HYPER-IgE RECURRENT INFECTION SYNDROME 2, AUTOSOMAL RECESSIVE
C0031347	Pharyngeal Neoplasms
C0027832	Neurofibromatosis 2
C0027831	Neurofibromatosis 1
C0027830	neurofibroma
C0030437	Parakeratosis Variegata
C0030436	Parakeratosis
C4476703	Anti-glutamic acid decarboxylase antibody positivity
C4476705	Upgaze palsy
C4476709	Delayed ability to stand
C3665347	Visual Impairment
C4551568	Joubert syndrome 1
C4551563	Microcephaly (physical finding)
C4551562	AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 1
C4551560	Truncal obesity
C4551567	Abnormal granulocyte morphology
C4551566	Equinovarus deformity of foot
C4551565	Rachitic rosary
C4551564	Narrow nasal bridge
C0206703	Carcinoma, Giant Cell
C4073207	Bilateral facial muscle weakness
C0472713	Anemia of renal disease
C1868745	Numb chin syndrome
C0341268	Disorder of small intestine
C4073203	Abnormal common carotid artery morphology
C0341266	Diverticulosis of the duodenum
C4025664	Abnormality of fibula morphology
C4025665	Aplasia/Hypoplasia involving the central nervous system
C4025666	Abnormality of the forearm
C0178468	Autoimmune thyroid disease
C4025660	Abnormality of the ankles
C4025662	Abnormality of the ulna
C4025663	Abnormality of tibia morphology
C4025668	Leydig cell insensitivity to gonadotropin
C4025669	Decreased circulating ACTH level
C0019021	Hemoglobin C Disease
C1845567	FG SYNDROME 3
C0282513	Primary Progressive Aphasia (disorder)
C0282512	Landau-Kleffner Syndrome
C1842714	Desquamation of skin soon after birth
C1332140	Acrofacial Dysostosis
C0021888	Physiologic Intraocular Pressure
C0338106	Adenocarcinoma of colon
C0403548	Salcedo syndrome
C4017089	LONG QT SYNDROME 1, RECESSIVE
C4017088	UNIPOLAR DEPRESSION, SUSCEPTIBILITY TO
C4017083	SCHWANNOMATOSIS, SOMATIC
C4017085	SHORT-RIB THORACIC DYSPLASIA 10 WITH POLYDACTYLY
C4017084	SHORT-RIB THORACIC DYSPLASIA 10 WITHOUT POLYDACTYLY
C4017087	CYSTIC PARATHYROID ADENOMA, SOMATIC
C1860614	ULNAR HYPOPLASIA
C3179058	Corpus Callosum Malformation
C1844383	Recurrent bacterial infection
C1844385	Absence of bactericidal oxidative respiratory burst in phagocytes
C1844384	Recurrent fungal infections
C1861350	Enlarged proximal interphalangeal joints
C1861355	Syndactyly, Type IV
C1861357	1-5 finger complete cutaneous syndactyly
C4521906	Stage III Hepatocellular Carcinoma AJCC v7
C0262478	Wrinkled face
C1854002	EXUDATIVE VITREORETINOPATHY 3
C1969644	Cataract, Cortical, Juvenile-Onset
C1969645	Ataxia, Spastic, 3, Autosomal Recessive
C1969649	KALA-AZAR, SUSCEPTIBILITY TO, 2
C0262477	Eye problem
C0262475	Congenital abnormality of Eustachian tube
C4016392	ADRENOCORTICAL TUMOR, SOMATIC
C4020908	Hypointensity of cerebral white matter on MRI
C4330844	Nutritional Hypophosphatemic Rickets
C4020907	Metaphyseal dappling
C1850780	Reduced leukocyte alkaline phosphatase
C4048328	cervical cancer
C4048329	Immunosuppression
C4020900	Abnormality of the upper limb
C2959380	Folliculosebaceous cystic hamartoma
C0742176	cervical mass
C0339273	Corneal dystrophy, Lattice type 3
C1969397	Short 2nd metacarpal
C0339271	Salzmann nodular dystrophy
C0339277	Corneal Dystrophy, Juvenile Epithelial of Meesmann
C0339278	Reis-Bucklers' corneal dystrophy
C1855663	Kaufman oculocerebrofacial syndrome
C0032708	Disorders of Porphyrin Metabolism
C1855665	Ovoid vertebral bodies
C2749685	CYSTINOSIS, ATYPICAL NEPHROPATHIC (disorder)
C1855669	Absent frontal sinuses
C1290807	Diarrheal disorder
C0432289	Winchester syndrome (disorder)
C1290800	Acquired anomaly of tongue
C0432282	Dysplasia epiphysealis hemimelica
C0018922	hemangiopericytoma
C1859178	Progressive peripheral neuropathy
C0018920	Hemangioma, Cavernous
C0018926	Hematemesis
C0432284	Infantile myofibromatosis
C0018924	Hemarthrosis
C3810451	Increased corneal thickness
C1851789	Poor wound healing
C0812437	Oculo-dento-digital syndrome
C0812435	Chromosome 11p deletion syndrome
C2854088	Acute lymphoblastic leukemia, in relapse
C0085070	Smear Layer
C0085077	Sweet Syndrome
C0085074	Granuloma Annulare
C1865304	Overfolding of the superior helices
C0085078	Lysosomal Storage Diseases
C1865302	Cleft at the superior portion of the pinna
C1858427	Limited extraocular movements
C0542174	Lupus-like rash
C0234974	Simple Partial Seizures
C0542518	Enlarged kidney
C4331824	Autosomal Dominant Neurohypophyseal Diabetes Insipidus
C1835171	Hypomagnesemia 2, renal
C1835178	MACULAR DYSTROPHY, ATYPICAL VITELLIFORM
C0020450	Hyperemesis Gravidarum
C0020452	Hyperemia
C0020453	Hyperesthesia
C0020455	Hypergammaglobulinemia
C0020456	Hyperglycemia
C0020458	Hyperhidrosis disorder
C0020459	Hyperinsulinism
C0013911	Emaciation
C0376618	Endotoxemia
C0240733	Peroneal muscle weakness
C3714625	Neuropathic pain
C0240735	Personality Change
C0280266	stage, vulvar cancer
C1853926	NONAKA MYOPATHY
C1853925	Spondyloocular Syndrome, Autosomal Recessive
C0023817	Hyperlipoproteinemia Type I
C0242647	Mucosa-Associated Lymphoid Tissue Lymphoma
C4015932	CARBONIC ANHYDRASE I DEFICIENCY
C4015931	CARBONIC ANHYDRASE I, GUAM
C4540036	FRASER SYNDROME 2
C4540034	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 56
C4540031	Combined oxidative phosphorylation deficiency
C0702139	Congenital absence of external ear
C0702135	Primary atypical pneumonia
C4531241	Triangular tibia
C0154254	Polyclonal hypergammaglobulinemia
C0154251	Lipid Metabolism Disorders
C0236688	Cocaine delirium
C4707954	Low density lipoprotein receptor adaptor protein 1 mutation
C0221392	Atrophic Vaginitis
C0741439	Bandemia
C1137478	Retinoschisis, Degenerative
C0268916	Atrophy of vas deferens
C0333463	Senile Plaques
C1827192	Allergic fungal sinusitis
C1408258	Kidney damage
C3554614	Ulnar deviation of the 3rd finger
C0406502	Hereditary benign telangiectasia (disorder)
C0456511	Sleep Paralysis
C0406500	Lipodermatosclerosis
C1735608	SLE flare
C1868263	Platelet Aggregation, Spontaneous
C1844548	Hypoplastic finger
C1832334	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4D
C1837380	Dysplastic testes
C0235889	Arthritis aggravated
C1832338	Axonal loss
C0005845	Blood urea nitrogen measurement
C0259799	Punctate keratitis
C0005848	Blood Viscosity
C1859995	Hyperandrogenism, Nonclassic Type, due to 21-Hydroxylase Deficiency
C1859998	CARCINOMA, ADRENOCORTICAL, ANDROGEN-SECRETING
C3808800	CATARACT 39, MULTIPLE TYPES
C4076533	Encephalitis caused by tick-borne encephalitis virus
C0334166	Pseudoainhum
C0334163	Fibrous bands
C4087436	HIV viraemia
C3552484	Pseudoepiphysis of the thumb
C0043144	Wheezing
C0019640	Histomoniasis
C1860475	Retinal vascular tortuosity
C0014070	Encephalomyelitis
C1168331	Apical myocardial infarction
C0014072	Experimental Autoimmune Encephalomyelitis
C1836522	Schindler Disease, Type II
C0346388	Malignant melanoma of choroid
C0014077	Leukoencephalitis, Acute Hemorrhagic
C0014078	Venezuelan equine encephalomyelitis
C1866141	Foot dorsiflexor weakness
C0276655	Infection by Aspergillus fumigatus
C0276653	Invasive Pulmonary Aspergillosis
C0276651	Aspergilloma
C0276658	Infection by Aspergillus flavus
C0342860	Homozygous variegate porphyria
C0342861	Uroporphyrinogen decarboxylase deficiency
C3552156	Hypoplasia of the semicircular canal
C4277639	Acute Febrile Encephalopathy
C0342869	Deficiency of acetyl-CoA acyltransferase (disorder)
C4518774	Joubert syndrome with Jeune asphyxiating thoracic dystrophy
C0857276	Patellar subluxation
C0853954	Corneal calcification
C0343401	MRSA - Methicillin resistant Staphylococcus aureus infection
C3150618	Maturity-onset diabetes of the young, type 11
C0041782	Deficiency anemias
C3150613	Long toe
C3854637	Hereditary angioedema attack
C3809483	SPECIFIC LANGUAGE IMPAIRMENT 5
C3150617	Maturity-onset diabetes of the young, type 10
C0238158	Secondary hemochromatosis
C0238159	Hemoglobin E disease
C4748809	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 26
C1283665	Deficiency of aminopeptidase
C0238152	Cardiac Sarcoma
C4748806	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 25
C0238157	Benign hematuria
C4748803	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 24
C1275047	Radiation-induced xerostomia
C0234860	Weak cry
C0234861	Cri du chat
C1847383	Absence of lymph node germinal center
C3854181	Nevus sebaceous
C4539985	CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES
C0039373	Tay-Sachs Disease
C0003650	Apudoma
C0268287	Deficiency of steroid 21-monooxygenase
C0268285	Adrenal hyperplasia, congenital, type 5
C0268281	Infantile neuronal ceroid lipofuscinosis
C0268288	Mild steroid 21-hydroxylase deficiency
C1834969	Metaphyseal Dysplasia with Maxillary Hypoplasia and Brachydactyly
C0006023	Borna Disease
C3280041	RETINITIS PIGMENTOSA 61
C3280042	RETINITIS PIGMENTOSA 62
C3890934	THYROXINE-BINDING GLOBULIN, VARIANT P PHENOTYPE
C4728019	Acute on chronic hepatitis B
C1834961	Flattened, squared-off epiphyses of tubular bones
C1135161	Stage 4S neuroblastoma
C0271680	Diabetic Polyneuropathies
C0271683	Polyneuropathy, Motor
C3899281	Early Inflammatory Arthritis
C0271685	Diabetic Amyotrophy
C0268138	Xeroderma Pigmentosum, Complementation Group D
C0271686	Diabetic Autonomic Neuropathy
C0271689	Insulin Receptor, Defect in
C0268134	DNA Repair-Deficiency
C0268136	Xeroderma pigmentosum, group B
C0268130	Hereditary orotic aciduria, type 1
C4016583	THYROXINE-BINDING GLOBULIN, SLOW
C4016581	ANDROGEN INSENSITIVITY, PARTIAL, WITH BREAST CANCER
C4022676	Decreased female libido
C4022677	Female anorgasmia
C4022674	Auricular tag
C4022675	Increased female libido
C0031106	Aggressive Periodontitis
C4749042	EPIDERMODYSPLASIA VERRUCIFORMIS, SUSCEPTIBILITY TO, 4
C0271972	Thiamine-responsive megaloblastic anemia
C0750466	Yeast infection
C0271979	Thalassemia Intermedia
C1282209	Choroidal neovascular membrane (disorder)
C0040559	Toxoplasmosis, Animal
C0040558	Toxoplasmosis
C2242691	Diarrhea rotavirus
C3151221	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 6
C0478658	Disorder of psychological development
C3151227	RETINITIS PIGMENTOSA 59
C0597124	Obstructive asymmetric septal hypertrophy
C3151229	FEBRILE SEIZURES, FAMILIAL, 3B
C3151228	RETINITIS PIGMENTOSA 38 (disorder)
C3898582	Localized Castleman Disease
C3898580	Loeys-Dietz Syndrome Type 2
C1761613	Conjunctival hyperemia
C0265559	Acheiropodia
C0007370	Catalepsy
C0265554	Ectrodactyly
C0235055	Skeletal muscle paralysis
C0265552	Congenital macrodactylia
C0265553	Polysyndactyly
C4746547	ALPORT SYNDROME 3, AUTOSOMAL DOMINANT
C0585540	Myoclonus, Oculopalatal
C0585544	Downbeat nystagmus
C0280745	secondary myelodysplastic syndromes
C0280746	Sarcoma of ovary
C0521686	Glaucomatous retinal degeneration
C3890205	Polyarticular Juvenile Idiopathic Arthritis, Rheumatoid Factor Negative
C1883008	Serum Alanine Aminotransferase Measurement
C0267952	Fibrosis of pancreas
C0267953	Necrosis of pancreas
C3809327	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 14
C4024735	Maternal virilization in pregnancy
C4024734	Low maternal serum estriol
C4024737	Aplasia/Hypoplasia of the skin
C4024736	Abnormally lax or hyperextensible skin
C4024731	Flexion limitation of toes
C4023106	Obstructive azoospermia
C4024733	Abnormality of the fifth metatarsal bone
C4024732	Ankylosis of feet small joints
C4024738	Aplasia/Hypoplasia of the lens
C0266393	Congenital duplication of uterus
C4025467	Deformed radius
C4025460	Broad ulna
C0424605	Developmental delay (disorder)
C0266399	Infantile uterus
C4748395	SPERMATOGENIC FAILURE 33
C0549423	Obstructive Hydrocephalus
C0041207	Truncus Arteriosus, Persistent
C4511307	Keratinopathic ichthyosis
C4511302	Genetic lipodystrophy
C0341714	Lymphoma of kidney
C4049262	Febrile infection related epilepsy syndrome
C1516061	Astler-Coller B1 Rectal Carcinoma
C4016236	EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED, WITH SEVERE PALMOPLANTAR KERATOSIS
C3276096	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS
C1446787	Cramping sensation quality
C1446783	rings tracheal
C4016230	GASTRIC CANCER SUSCEPTIBILITY AFTER H. PYLORI INFECTION
C1970887	Abnormal middle ear reflexes
C3808492	Renal cell carcinoma, usually clear cell type
C3808494	CHROMOSOME 2p16.3 DELETION SYNDROME
C0153373	Malignant neoplasm of cheek mucosa
C0300934	Primary Amebic Meningoencephalitis
C2930971	Acroosteolysis dominant type
C2930970	Acromesomelic dysplasia Hunter-Thompson type
C2930977	Acute erythroleukemia - M6b subtype
C2930976	Acute myeloid leukemia FAB-M6
C2930975	Acute erythroleukemia - M6a subtype
C2930974	Acute erythroleukemia
C1881406	Lipase Hypersecretion Syndrome
C3808145	LEFT VENTRICULAR NONCOMPACTION 9
C0936247	Brain Embolism and Thrombosis
C0936243	HIV-1-Associated Cognitive Motor Complex
C0936248	Chondroma
C2826025	Mixed phenotype acute leukemia
C0264638	Low-renin essential hypertension
C4727981	Eosinophilic otitis media
C1970224	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 5
C4727985	Ewing-like sarcoma
C4021615	Abnormal metacarpal morphology
C4021611	Abnormality of epiphysis morphology
C4021610	Bilateral lung agenesis
C4021618	Polysyndactyly of hallux
