bioplanet_25	BAD phosphorylation regulation
bioplanet_1362	T cell receptor calcium pathway
bioplanet_1361	Interleukin-2/STAT5 pathway
bioplanet_1360	p38 alpha/beta MAPK downstream pathway
bioplanet_1367	Insulin regulation of blood glucose
bioplanet_1366	RAC1 activity regulation
bioplanet_1365	Syndecan 2 pathway
bioplanet_1364	FOXA transcription factor networks
bioplanet_1369	Syndecan 3 pathway
bioplanet_1368	PIK3C1/AKT pathway
bioplanet_1565	Inactivation of APC/C via direct inhibition of the APC/C complex
bioplanet_1564	Activation of chaperones by ATF6 alpha
bioplanet_1567	Activation of chaperones by IRE1 alpha
bioplanet_1566	Inflammasomes
bioplanet_1561	IKK complex recruitment by IRAK1
bioplanet_1560	Notch receptor processing
bioplanet_1563	IRF3-mediated activation of type 1 interferon
bioplanet_1562	IRAK2-mediated activation of TAK1 complex
bioplanet_1569	Integrin cell surface interactions
bioplanet_1568	Inhibition of insulin secretion by adrenaline/noradrenaline
bioplanet_1491	Biological oxidations
bioplanet_1490	Binding and entry of HIV virion
bioplanet_1493	CD28-dependent Vav1 pathway
bioplanet_1492	Botulinum neurotoxicity
bioplanet_1495	CHL1 interactions
bioplanet_1494	CDO in myogenesis
bioplanet_1497	Calcium-activated potassium channels
bioplanet_1496	CREB phosphorylation through the activation of adenylate cyclase
bioplanet_1499	Cell-extracellular matrix interactions
bioplanet_1498	Cell surface interactions at the vascular wall
bioplanet_1158	Eukaryotic translation initiation ternary complex and 43S complex formation
bioplanet_1159	Destabilization of mRNA by AUF1 (hnRNP D0)
bioplanet_1149	Cytosolic tRNA aminoacylation
bioplanet_1148	Regulatory RNA pathways
bioplanet_1143	Alternative NF-kappaB pathway
bioplanet_1142	Alternative complement activation
bioplanet_1141	Diurnally regulated genes with circadian orthologs
bioplanet_1147	ERBB1 internalization pathway
bioplanet_1145	Viral dsRNA-TLR3-TRIF complex activation of RIP1
bioplanet_1144	MicroRNAs in cardiomyocyte hypertrophy
bioplanet_1154	Deadenylation of mRNA
bioplanet_1389	Coagulation intrinsic pathway
bioplanet_1388	Extrinsic pathway
bioplanet_1155	Small interfering RNA (siRNA) biogenesis
bioplanet_1385	Golgi-associated vesicle biogenesis
bioplanet_1384	Interleukin-12/STAT4 pathway
bioplanet_1387	Presynaptic function of kainate receptors
bioplanet_1386	Maturation of Notch precursor via proteolytic cleavage
bioplanet_1381	Glypican-3 pathway
bioplanet_1380	Retinoblastoma protein regulation
bioplanet_1383	HES/HEY pathway
bioplanet_1382	HNF3A pathway
bioplanet_699	Sema3A-plexin repulsion signaling by inhibiting integrin adhesion
bioplanet_698	Retrograde neurotrophin signaling
bioplanet_691	Sprouty regulation of FGF signaling
bioplanet_690	NF-kappaB activation
bioplanet_693	p130Cas linkage to MAPK signaling for integrins
bioplanet_692	Thromboxane A2 receptor signaling
bioplanet_695	DCC-mediated attractive signaling
bioplanet_694	CD28-dependent PI3K/Akt signaling
bioplanet_696	Downregulation of ERBB4 signaling
bioplanet_509	Signaling by ERBB2
bioplanet_508	Signaling by EGFR in cancer
bioplanet_501	Signaling events mediated by focal adhesion kinase
bioplanet_500	Signaling events mediated by VEGFR1 and VEGFR2
bioplanet_503	Signal amplification
bioplanet_502	Signaling by EGFR
bioplanet_505	Signal regulatory protein (SIRP) family interactions
bioplanet_504	Signal attenuation
bioplanet_507	Signaling by bone morphogenetic protein (BMP)
bioplanet_506	Signal transduction by L1
bioplanet_1037	Deposition of new CENP-A-containing nucleosomes at the centromere
bioplanet_1036	Influenza viral RNA transcription and replication
bioplanet_1035	CDC6 association with the ORC-origin complex
bioplanet_1034	Chromosome maintenance
bioplanet_1032	Assembly of HIV virion
bioplanet_1031	Assembly of influenza viral components at the budding site
bioplanet_1030	Assembly of the RAD50-MRE11-NBS1 complex at DNA double-strand breaks
bioplanet_1039	Double-strand break repair
bioplanet_1038	DNA repair
bioplanet_321	Bystander B cell activation
bioplanet_322	B lymphocyte cell surface molecules
bioplanet_325	Cells and molecules involved in local acute inflammatory response
bioplanet_324	CTL mediated immune response against target cells
bioplanet_327	SARS coronavirus protease
bioplanet_326	Monocyte and its surface molecules
bioplanet_329	T helper cell surface molecules
bioplanet_328	T cell receptor and CD3 complex
bioplanet_215	HOP pathway in cardiac development
bioplanet_214	Segmentation clock
bioplanet_217	CTCF pathway
bioplanet_211	Eosinophils in the chemokine network of allergy
bioplanet_210	CD40L signaling pathway
bioplanet_213	Small leucine-rich proteoglycan (SLRP) molecules
bioplanet_212	Function of SLRP in bone
bioplanet_219	Multi-step regulation of transcription by PITX2
bioplanet_218	PRC2 complex long-term gene silencing through modification of histone tails
bioplanet_837	Glyoxylate metabolism
bioplanet_1701	Phase I of biological oxidations: non-cytochrome P450 enzymes
bioplanet_1700	Matrix metalloproteinases
bioplanet_1702	Fatty acid beta oxidation
bioplanet_1705	Physiological and pathological hypertrophy  of the heart
bioplanet_1704	Selenium pathway
bioplanet_1707	Angiogenesis
bioplanet_1709	Fluoropyrimidine activity
bioplanet_1708	Heart development
bioplanet_905	Immune system
bioplanet_904	G-protein activation
bioplanet_906	Disease
bioplanet_901	Costimulation by the CD28 family
bioplanet_900	NCAM1 interactions
bioplanet_1639	Initiation of the second proteolytic cleavage of Notch receptor by receptor-ligand binding
bioplanet_1638	Ras activation upon calcium influx through NMDA receptor
bioplanet_1635	RIG-I/MDA5-mediated induction of interferon-alpha/beta pathways
bioplanet_1634	Protein folding
bioplanet_1637	RSK activation
bioplanet_1636	RORA activates circadian expression
bioplanet_1631	Potassium channels
bioplanet_1630	Post-translational protein modification
bioplanet_1633	Propionyl-CoA catabolism
bioplanet_1632	Progressive trimming of alpha-1
bioplanet_1550	Glutamate binding and activation of AMPA receptors and synaptic plasticity
bioplanet_1551	Glutamate neurotransmitter release cycle
bioplanet_1552	Glutathione conjugation
bioplanet_1553	Activation of C3 and C5
bioplanet_1554	Activation of calcium-permeable kainate receptor
bioplanet_1555	Hyperpolarization-activated cyclic nucleotide-gated (HCN) channels
bioplanet_1556	HIV life cycle
bioplanet_1557	HIV-1 transcription initiation
bioplanet_1558	Hemostasis pathway
bioplanet_1559	Highly sodium permeable acetylcholine nicotinic receptors
bioplanet_18	Mitochondrial role in apoptotic signaling
bioplanet_19	Caspase cascade in apoptosis
bioplanet_14	Apoptotic signaling in response to DNA damage
bioplanet_15	Induction of apoptosis through DR3 and DR4/5 death receptors
bioplanet_1736	Blood clotting cascade
bioplanet_1737	NOD-like receptor (NLR) proteins
bioplanet_10	Adhesion and diapedesis of granulocytes
bioplanet_11	Adhesion and diapedesis of lymphocytes
bioplanet_1732	Adipogenesis
bioplanet_688	Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling
bioplanet_689	Integrin alpha-2b beta-3 signaling
bioplanet_682	PI3K events in ERBB2 signaling
bioplanet_683	Platelet activation
bioplanet_680	GRB7 events in ERBB2 signaling
bioplanet_681	NADE-dependent death signaling
bioplanet_686	Interferon alpha/beta signaling
bioplanet_687	Integrin-linked kinase signaling
bioplanet_684	SHC1 events in ERBB2 signaling
bioplanet_685	Sema4D in semaphorin signaling
bioplanet_518	Signaling by NODAL
bioplanet_519	Signaling by NOTCH
bioplanet_512	Signaling by FGFR mutants
bioplanet_513	Signaling by FGFR1 fusion mutants
bioplanet_510	Signaling by ERBB4
bioplanet_511	Signaling by FGFR in disease
bioplanet_516	Signaling by insulin receptor
bioplanet_517	Signaling by interleukins
bioplanet_514	Signaling by FGFR1 mutants
bioplanet_515	Signaling by Hippo
bioplanet_1042	DNA double-strand break processing
bioplanet_1043	Transport to the Golgi and subsequent modification
bioplanet_1040	ATM-mediated phosphorylation of repair proteins
bioplanet_1041	Global genomic nucleotide excision repair (GG-NER)
bioplanet_1046	Transport of vitamins
bioplanet_1047	Transport of mature mRNAs derived from intronless transcripts
bioplanet_1044	Transport of glucose and other sugars
bioplanet_1045	Transport of inorganic cations/anions and amino acids/oligopeptides
bioplanet_1048	Transport of mature transcript to cytoplasm
bioplanet_1049	Transport of fatty acids
bioplanet_332	Alternative complement pathway
bioplanet_333	Salmonella infection
bioplanet_330	Ras-independent pathway in NK cell-mediated cytotoxicity
bioplanet_331	Lectin-induced complement pathway
bioplanet_336	Alanine
bioplanet_337	Glycine
bioplanet_334	West Nile virus infection
bioplanet_335	Defeat of host-mediated resistance by HIV-1
bioplanet_338	Cysteine and methionine metabolism
bioplanet_339	Valine
bioplanet_206	GATA3-mediated activation of Th2 cytokine expression
bioplanet_207	Hematopoiesis regulation by cytokines
bioplanet_204	Phagosome
bioplanet_205	Peroxisome
bioplanet_202	Lysosome
bioplanet_203	Endocytosis
bioplanet_200	Gap junction pathway
bioplanet_201	Autophagy regulation
bioplanet_208	CCR3 signaling in eosinophils
bioplanet_209	Dendritic cells in regulating TH1 and TH2 development
bioplanet_1738	Myometrial relaxation and contraction pathways
bioplanet_1739	Keap1-Nrf2 pathway
bioplanet_1734	Small ligand GPCRs
bioplanet_1735	Nifedipine activity
bioplanet_16	Apoptotic DNA fragmentation and tissue homeostasis
bioplanet_17	HIV-1 Nef as negative effector of Fas and TNF
bioplanet_1730	Neural crest differentiation
bioplanet_1731	Irinotecan pathway
bioplanet_12	Granzyme A-mediated apoptosis pathway
bioplanet_13	Opposing roles of AIF in apoptosis and cell survival
bioplanet_1608	Neuronal system
bioplanet_1609	Neurotransmitter clearance in the synaptic cleft
bioplanet_1600	NICD trafficking to the nucleus
bioplanet_1601	NOSTRIN-mediated endothelial NOS trafficking
bioplanet_1602	Influenza NS1-mediated effects on host pathways
bioplanet_1603	Nef-mediated CD4 downregulation
bioplanet_1604	Nef-mediated CD8 downregulation
bioplanet_1605	Nef-mediated downregulation of MHC class I complex cell surface expression
bioplanet_1606	Nephrin interactions
bioplanet_1607	Neurofascin interactions
bioplanet_1549	Generic transcription pathway
bioplanet_1548	Activation of BIM and translocation to mitochondria
bioplanet_1547	GABA A and B receptor activation
bioplanet_1546	BAD activation and translocation to mitochondria
bioplanet_1545	GABA (A) receptor activation
bioplanet_1544	GABA (A) rho receptor activation
bioplanet_1543	G2 phase pathway
bioplanet_1542	G1/S-specific transcription
bioplanet_1541	G0 and early G1 pathway
bioplanet_1540	AMPA receptor activation
bioplanet_527	Signaling by activated point mutants of FGFR1
bioplanet_526	Signaling by VEGF
bioplanet_525	Signaling by TGF-beta receptor complex
bioplanet_524	Signaling by SCF-KIT
bioplanet_523	Signaling by Robo receptor
bioplanet_522	Signaling by PDGF
bioplanet_521	Signaling by NOTCH2
bioplanet_520	Signaling by NOTCH1
bioplanet_839	Nicotinate metabolism
bioplanet_838	Hyaluronan metabolism
bioplanet_529	Signaling by the B cell receptor (BCR)
bioplanet_528	Signaling by constitutively active EGFR
bioplanet_1051	Transport of nucleotide sugars
bioplanet_1050	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane
bioplanet_1053	Ion transport by P-type ATPases
bioplanet_1052	Transport of organic anions
bioplanet_1055	Zinc transporters
bioplanet_1054	ABCA transporters in lipid homeostasis
bioplanet_1057	Passive transport by aquaporins
bioplanet_1056	Hexose transport
bioplanet_1059	Electron transport chain
bioplanet_1058	Inositol transporters
bioplanet_811	Nitric oxide metabolism
bioplanet_810	Lipid and lipoprotein metabolism
bioplanet_783	Catecholamine biosynthesis
bioplanet_782	Pregnenolone biosynthesis
bioplanet_781	Triglyceride biosynthesis
bioplanet_780	Biogenic amine biosynthesis
bioplanet_787	Peptide hormone biosynthesis
bioplanet_786	Glucocorticoid biosynthesis
bioplanet_785	Fatty acyl-CoA biosynthesis
bioplanet_784	Triacylglyceride biosynthesis
bioplanet_789	Dermatan sulfate biosynthesis
bioplanet_788	Viral messenger RNA biosynthesis
bioplanet_233	VEGF signaling pathway
bioplanet_232	TGF-beta regulation of skeletal system development
bioplanet_231	Hedgehog signaling pathway
bioplanet_230	Wnt signaling pathway
bioplanet_237	ECM-receptor interaction
bioplanet_236	Neuroactive ligand-receptor interaction
bioplanet_235	Cytokine-cytokine receptor interaction
bioplanet_234	Jak-STAT signaling pathway
bioplanet_239	Transcriptional activation of dbpB from mRNA
bioplanet_238	Cell adhesion molecules (CAMs)
bioplanet_818	Metabolism of vitamins and cofactors
bioplanet_8	PI3K subunit p85 role in regulation of actin organization and cell migration
bioplanet_9	Rho cell motility signaling pathway
bioplanet_2	Mu-calpain pathway
bioplanet_3	AKT signaling pathway
bioplanet_1	Inhibition of matrix metalloproteinases
bioplanet_6	Activation of cAMP-dependent protein kinase
bioplanet_7	Mammalian calpain regulation of cell motility
bioplanet_4	Cell to cell adhesion signaling
bioplanet_5	Collagen binding in corneal epithelia mediated by Erk and PI-3 Kinase
bioplanet_659	CRMPs in Sema3A signaling
bioplanet_658	Mammalian target of rapamycin complex 1 (mTORC1)-mediated signaling
bioplanet_309	Pathogenic Escherichia coli infection
bioplanet_308	Epithelial cell signaling in Helicobacter pylori infection
bioplanet_307	Vibrio cholerae infection
bioplanet_654	Alpha-6 beta-4 integrin signaling pathway
bioplanet_657	GPCR downstream signaling
bioplanet_656	Alpha-synuclein signaling
bioplanet_651	Endogenous Toll-like receptor signaling
bioplanet_302	Systemic lupus erythematosus
bioplanet_301	Autoimmune thyroid disease
bioplanet_652	T cell receptor downstream signaling
bioplanet_1729	Fatty acid omega oxidation
bioplanet_1727	Cell differentiation pathway
bioplanet_1726	MicroRNAs in muscle cell differentiation
bioplanet_1725	SREBF and miR-33 in cholesterol and lipid homeostasis
bioplanet_1617	Oxygen-dependent asparagine hydroxylation of hypoxia-inducible factor 1 alpha (HIF1-alpha)
bioplanet_1616	Other semaphorin interactions
bioplanet_1615	Oxygen/carbon dioxide exchange in erythrocytes
bioplanet_1614	Activation of the AP-1 family of transcription factors
bioplanet_1613	Nuclear receptor transcription pathway
bioplanet_1612	NrCAM interactions
bioplanet_1611	Norepinephrine neurotransmitter release cycle
bioplanet_1610	Nitric oxide stimulation of guanylate cyclase
bioplanet_1619	PERK-regulated gene expression
bioplanet_1618	Platelet endothelial cell adhesion molecule 1 (PECAM1) interactions
bioplanet_1538	Fibrin clot formation (clotting cascade)
bioplanet_1539	UDP-glucuronate active cofactor formation
bioplanet_1532	Ethanol oxidation
bioplanet_1533	Extension of telomeres
bioplanet_1530	Entry of influenza virion into host cell via endocytosis
bioplanet_1531	Activated AMPK stimulation of fatty-acid oxidation in muscle
bioplanet_1536	Cytochrome P450 metabolism of fatty acids
bioplanet_1537	Folding of actin by CCT/TriC
bioplanet_1534	Oxidation of nucleophiles by flaving-containing monooxygenase (FMO)
bioplanet_1535	Factors involved in megakaryocyte development and platelet production
bioplanet_1286	ERK5 role in neuronal survival pathway
bioplanet_1287	eIF4E and p70 S6 kinase regulation
bioplanet_1283	Hypoxia-inducible factor in the cardivascular system
bioplanet_1289	BRCA1-dependent ubiquitin ligase activity
bioplanet_1446	Amino acid conjugation
bioplanet_1447	Smooth muscle contraction
bioplanet_1444	Wnt interactions in lipid metabolism and immune response
bioplanet_1445	TNF-alpha effects on cytokine activity
bioplanet_1442	TGF-beta regulation of extracellular matrix
bioplanet_1443	BDNF signaling pathway
bioplanet_1440	Prolactin regulation of apoptosis
bioplanet_1441	Kit receptor transcriptional targets
bioplanet_1449	TAK1 activates NF-kappaB by phosphorylation and activation of IKK complex
bioplanet_1190	Cytosolic sensors of pathogen-associated DNA
bioplanet_1191	Mechanisms of transcriptional repression by DNA methylation
bioplanet_1193	Inhibition of replication initiation of damaged DNA by RB1/E2F1
bioplanet_1194	Integration of provirus
bioplanet_1195	Chk1/Chk2(Cds1)-mediated inactivation of cyclin B-Cdk1 complex
bioplanet_1196	Association of licensing factors with the pre-replicative complex
bioplanet_1197	E2F-enabled inhibition of pre-replication complex formation
bioplanet_1198	Phase II of biological oxidations: conjugation
bioplanet_1199	Activation of BMF and translocation to mitochondria
bioplanet_886	EGFR downregulation
bioplanet_880	Gap junction degradation
bioplanet_881	APC/C-mediated degradation of cell cycle proteins
bioplanet_1008	Apoptotic cleavage of cellular proteins
bioplanet_1009	Apoptosis modulation by HSP70
bioplanet_530	Signaling by NGF
bioplanet_531	Signaling to ERKs
bioplanet_532	Signaling to STAT3
bioplanet_533	Signaling to p38 via RIT and RIN
bioplanet_534	Signal transduction
bioplanet_535	Signaling by GPCR
bioplanet_536	Signal transduction of S1P receptor
bioplanet_537	Inhibitor of DNA binding (ID) signaling pathway
bioplanet_538	T cell receptor signaling in naive CD4+ T cells
bioplanet_539	T cell receptor signaling in naive CD8+ T cells
bioplanet_1066	COPI-mediated vesicle transport
bioplanet_1067	Transmembrane transport of small molecules
bioplanet_1060	Potassium transport channels
bioplanet_1061	Serotonin transporter activity
bioplanet_1062	Monoamine transport
bioplanet_1063	Amino acid transport across the plasma membrane
bioplanet_1000	Platelet adhesion to exposed collagen
bioplanet_1268	Relaxin receptors
bioplanet_1269	SHC activation
bioplanet_1266	Adenylate cyclase inhibitory pathway
bioplanet_1267	Rheb GTPase activity by AMPK regulation
bioplanet_1264	Prostanoid ligand receptors
bioplanet_1265	Adenosine P1 receptors
bioplanet_1262	Pre-NOTCH processing in Golgi
bioplanet_1263	Pre-NOTCH Processing in the endoplasmic reticulum
bioplanet_1260	Peptide G-protein coupled receptors
bioplanet_1261	Pre-NOTCH expression and processing
bioplanet_798	Termination of O-glycan biosynthesis
bioplanet_794	Molybdenum cofactor biosynthesis
bioplanet_795	Sphingolipid de novo biosynthesis
bioplanet_796	Tetrahydrobiopterin (BH4) biosynthesis
bioplanet_797	Serotonin and melatonin biosynthesis
bioplanet_790	Mineralocorticoid biosynthesis
bioplanet_791	Chondroitin sulfate biosynthesis
bioplanet_792	Gap-filling DNA repair biosynthesis and ligation in global genomic nucleotide excision repair
bioplanet_793	Glycerophospholipid biosynthesis
bioplanet_228	Calcium signaling pathway
bioplanet_229	Phosphatidylinositol signaling system
bioplanet_224	Cardiac protection against reactive oxygen species
bioplanet_225	ABC transporters
bioplanet_226	MAPK signaling pathway
bioplanet_227	ERBB signaling pathway
bioplanet_220	Effect of METS on macrophage differentiation
bioplanet_221	IGF-1 receptor and longevity
bioplanet_222	Vitamin C in the brain
bioplanet_223	Lissencephaly gene (LIS1) in neuronal migration and development
bioplanet_318	Huntington's disease
bioplanet_319	Prion diseases
bioplanet_648	CBL signaling regulation
bioplanet_649	GM-CSF-mediated signaling events
bioplanet_310	Shigellosis
bioplanet_311	Leishmaniasis
bioplanet_312	Chagas disease
bioplanet_313	Malaria
bioplanet_314	Amoebiasis
bioplanet_315	Alzheimer's disease
bioplanet_640	Alpha-4 beta-7 integrin signaling
bioplanet_641	PDGF genes and receptors
bioplanet_38	Proepithelin conversion to epithelin and wound repair control
bioplanet_39	Cycling of Ran in nucleocytoplasmic transport
bioplanet_32	OX40 signaling pathway
bioplanet_33	Inhibition of activated T cell apoptosis by neuropeptides VIP and PACAP
bioplanet_30	TNFR1 signaling pathway
bioplanet_31	MEF2D role in T cell apoptosis
bioplanet_36	Acute myocardial infarction
bioplanet_37	Angiotensin-converting enzyme 2 regulation of heart function
bioplanet_34	HIV-induced T cell apoptosis
bioplanet_35	Free radical-induced apoptosis
bioplanet_1662	Sema3A/PAK-dependent axon repulsion
bioplanet_1663	ERK1/ERK2 MAPK pathway
bioplanet_1660	Response to elevated platelet cytosolic calcium
bioplanet_1661	Amine oxidase reactions
bioplanet_1666	cAMP receptor
bioplanet_1667	Granule cell survival pathway
bioplanet_1664	JNK/MAPK pathway
bioplanet_1668	Wnt/calcium/cyclic GMP pathway
bioplanet_1669	Epidermal growth factor receptor (EGFR) pathway
bioplanet_1529	Endosomal/vacuolar pathway
bioplanet_1528	Cytochrome P450 metabolism of endogenous sterols
bioplanet_1521	Dopamine neurotransmitter release cycle
bioplanet_1520	Dissolution of fibrin clot
bioplanet_1523	Dual incision reaction in TC-NER
bioplanet_1522	Dual incision reaction in GG-NER
bioplanet_1525	Cytochrome P450 metabolism of eicosanoids
bioplanet_1524	ER quality control compartment (ERQC)
bioplanet_1527	Elevation of cytosolic calcium levels
bioplanet_1526	Acetylcholine neurotransmitter release cycle
bioplanet_903	DARPP-32 events
bioplanet_1292	Endothelins
bioplanet_1291	SMAD2/3 nuclear pathway
bioplanet_1297	Atypical NF-kappaB pathway
bioplanet_1296	p73 transcription factor network
bioplanet_1295	Beta-1 integrin cell surface interactions
bioplanet_1294	LPA receptor mediated events
bioplanet_1299	E2F transcription factor network
bioplanet_1454	TWIK-related potassium channel (TREK) pathway
bioplanet_1457	Telomere extension by telomerase
bioplanet_1456	Tandem pore domain potassium channels
bioplanet_1451	TRAF6-mediated IRF7 activation
bioplanet_1450	TRAF3-dependent IRF activation pathway
bioplanet_1453	TRAF6 mediated NF-kB activation
bioplanet_1452	Antigen processing: cross presentation
bioplanet_1459	Telomere maintenance
bioplanet_1458	Antiviral mechanism by interferon-stimulated genes
bioplanet_1189	Activation of the pre-replicative complex
bioplanet_1188	Formation of viral DNA circles by autointegration
bioplanet_1187	E2F-mediated regulation of DNA replication
bioplanet_1186	G2/M checkpoints
bioplanet_1185	S phase
bioplanet_1184	DNA end processing prior to end rejoining
bioplanet_1183	Proteins and DNA sequences in cardicac structures
bioplanet_1182	Unwinding of DNA
bioplanet_1181	Homologous DNA pairing and strand exchange
bioplanet_1180	G2/M DNA replication checkpoint
bioplanet_902	PKB-mediated events
bioplanet_813	Nucleotide metabolism
bioplanet_812	Non-coding RNA metabolism
bioplanet_1079	Sodium/proton exchangers
bioplanet_1078	Sodium-dependent glucose transporters
bioplanet_817	Steroid hormone
bioplanet_816	Protein metabolism
bioplanet_815	Porphyrin metabolism
bioplanet_814	Polyamine metabolism
bioplanet_1073	Type II sodium/phosphate cotransporters
bioplanet_1072	Iron uptake and transport
bioplanet_1071	Organic cation transport
bioplanet_1070	Metal ion solute carrier family (SLC) transporters
bioplanet_1077	Gamma-carboxylation
bioplanet_1076	Amine compound SLC transporters
bioplanet_1075	Aquaporin-mediated transport
bioplanet_1074	Mitochondrial ABC transporters
bioplanet_1278	Interferon-beta enhancer pathway
bioplanet_1275	Bone remodeling
bioplanet_1277	Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha
bioplanet_1276	Proteasome complex
bioplanet_1271	VEGF
bioplanet_1270	Amine ligand-binding G-protein coupled receptors
bioplanet_1272	Trefoil factor initiation of mucosal healing
bioplanet_259	Basal transcription factors
bioplanet_258	RNA polymerase
bioplanet_251	Telomerase RNA component gene hTERC transcriptional regulation
bioplanet_250	Spliceosomal assembly
bioplanet_253	Telomerase protein component gene hTERT transcriptional regulation
bioplanet_252	Control of gene expression by vitamin D receptor
bioplanet_255	FXR and LXR regulation of cholesterol metabolism
bioplanet_254	SUMOylation by RanBP2 regulates transcriptional repression
bioplanet_257	Inhibition of Huntington's disease neurodegeneration by histone deacetylase inhibitors (HDACs)
bioplanet_256	SREBP control of lipid biosynthesis
bioplanet_499	Signaling events mediated by stem cell factor receptor (c-Kit)
bioplanet_498	Signaling events mediated by the hedgehog family
bioplanet_497	Signaling events mediated by HDAC class I
bioplanet_496	Signaling events mediated by T cell protein tyrosine phosphatase (TC-PTP)
bioplanet_495	Signaling events regulated by Ret tyrosine kinase
bioplanet_494	Signaling by aurora kinases
bioplanet_493	Signaling events mediated by PTP1B
bioplanet_492	Signaling events mediated by hepatocyte growth factor receptor (c-Met)
bioplanet_491	Signaling events mediated by HDAC class II
bioplanet_490	Signaling events mediated by PRL
bioplanet_679	Glycoprotein 1b-IX-V activation signaling
bioplanet_678	G-protein beta-gamma signalling
bioplanet_673	Interferon alpha signaling regulation
bioplanet_672	Prolactin receptor signaling pathway
bioplanet_671	Androgen receptor signaling
bioplanet_670	KIT signaling regulation
bioplanet_677	EGF receptor (ErbB1) signaling pathway
bioplanet_676	SHC1 events in EGFR signaling
bioplanet_675	Type II interferon signaling (interferon-gamma)
bioplanet_674	Interferon gamma signaling regulation
bioplanet_835	Arylamine metabolism
bioplanet_109	NF-kappaB activation by non-typeable Hemophilus influenzae
bioplanet_834	Tamoxifen metabolism
bioplanet_105	Modulation of interferon signaling by chaperones
bioplanet_104	Ras signaling pathway
bioplanet_107	Sprouty regulation of tyrosine kinase signals
bioplanet_101	Phospholipase C signaling pathway
bioplanet_100	Phospholipase C epsilon pathway
bioplanet_103	Ion channel function in vascular endothelium
bioplanet_102	Phosphoinositides and their downstream targets
bioplanet_836	Prostanoid metabolism
bioplanet_831	Selenium metabolism and selenoproteins
bioplanet_830	Nicotine metabolism
bioplanet_833	Estrogen metabolism
bioplanet_832	Glycogen metabolism
