GO:0004866	endopeptidase inhibitor activity
GO:0050155	ornithine(lysine) transaminase activity
GO:0015106	bicarbonate transmembrane transporter activity
GO:0015101	organic cation transmembrane transporter activity
GO:0015100	vanadium ion transmembrane transporter activity
GO:0050153	omega-hydroxydecanoate dehydrogenase activity
GO:0050152	omega-amidase activity
GO:0071558	histone demethylase activity (H3-K27 specific)
GO:0015108	chloride transmembrane transporter activity
GO:0018676	(S)-limonene 7-monooxygenase activity
GO:0034452	dynactin binding
GO:0099609	microtubule lateral binding
GO:0015631	tubulin binding
GO:0015636	short-chain fatty acid transmembrane transporter activity
GO:0032050	clathrin heavy chain binding
GO:0019103	pyrimidine nucleotide binding
GO:0038117	C-C motif chemokine 19 receptor activity
GO:0019104	DNA N-glycosylase activity
GO:0019107	myristoyltransferase activity
GO:0051400	BH domain binding
GO:0051401	CH domain binding
GO:0010385	double-stranded methylated DNA binding
GO:0015594	ABC-type putrescine transporter activity
GO:0043515	kinetochore binding
GO:0004578	chitobiosyldiphosphodolichol beta-mannosyltransferase activity
GO:0003875	ADP-ribosylarginine hydrolase activity
GO:0052903	N1-acetylspermine
GO:0047934	glucose 1-dehydrogenase (NAD+) activity
GO:0042019	interleukin-23 binding
GO:0015039	NADPH-adrenodoxin reductase activity
GO:0015038	glutathione disulfide oxidoreductase activity
GO:0070506	high-density lipoprotein particle receptor activity
GO:0047263	N-acylsphingosine galactosyltransferase activity
GO:0015035	protein disulfide oxidoreductase activity
GO:0015036	disulfide oxidoreductase activity
GO:0102524	tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity
GO:0042497	triacyl lipopeptide binding
GO:0030229	very-low-density lipoprotein particle receptor activity
GO:0030228	lipoprotein particle receptor activity
GO:0050840	extracellular matrix binding
GO:0030226	apolipoprotein receptor activity
GO:0016212	kynurenine-oxoglutarate transaminase activity
GO:0016213	linoleoyl-CoA desaturase activity
GO:0047042	androsterone dehydrogenase (B-specific) activity
GO:0005309	creatine
GO:0034211	GTP-dependent protein kinase activity
GO:0047045	testosterone 17-beta-dehydrogenase (NADP+) activity
GO:0047044	androstan-3-alpha,17-beta-diol dehydrogenase activity
GO:0120225	coenzyme A binding
GO:0102033	long-chain fatty acid omega-hydroxylase activity
GO:0051717	inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity
GO:0019855	calcium channel inhibitor activity
GO:0043208	glycosphingolipid binding
GO:0030911	TPR domain binding
GO:0140081	glycosylated region protein binding
GO:1901641	ITP binding
GO:1904768	all-trans-retinol binding
GO:0003696	satellite DNA binding
GO:0016453	C-acetyltransferase activity
GO:0047196	long-chain-alcohol O-fatty-acyltransferase activity
GO:0047191	1-alkylglycerophosphocholine O-acyltransferase activity
GO:0008747	N-acetylneuraminate lyase activity
GO:0047192	1-alkylglycerophosphocholine O-acetyltransferase activity
GO:0005289	high-affinity arginine transmembrane transporter activity
GO:0030594	neurotransmitter receptor activity
GO:0043849	Ras palmitoyltransferase activity
GO:0120146	sulfatide binding
GO:0001147	transcription termination site sequence-specific DNA binding
GO:0106245	L-serine-phosphatidylethanolamine phosphatidyltransferase activity
GO:0061547	glycogen synthase activity, transferring glucose-1-phosphate
GO:0008431	vitamin E binding
GO:0046332	SMAD binding
GO:0030350	iron-responsive element binding
GO:0030354	melanin-concentrating hormone activity
GO:0035276	ethanol binding
GO:0086059	voltage-gated calcium channel activity involved SA node cell action potential
GO:0120147	Formylglycine-generating oxidase activity
GO:0010945	CoA pyrophosphatase activity
GO:0072555	17-beta-ketosteroid reductase activity
GO:0008066	glutamate receptor activity
GO:0097079	selenite
GO:1990430	extracellular matrix protein binding
GO:0008532	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity
GO:0043337	CDP-diacylglycerol-phosphatidylglycerol phosphatidyltransferase activity
GO:0043333	2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity
GO:1990439	MAP kinase serine/threonine phosphatase activity
GO:0032184	SUMO polymer binding
GO:0035673	oligopeptide transmembrane transporter activity
GO:0008061	chitin binding
GO:0031770	growth hormone-releasing hormone receptor binding
GO:0031771	type 1 hypocretin receptor binding
GO:0031772	type 2 hypocretin receptor binding
GO:0008531	riboflavin kinase activity
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0043812	phosphatidylinositol-4-phosphate phosphatase activity
GO:0031777	type 1 melanin-concentrating hormone receptor binding
GO:0072354	histone kinase activity (H3-T3 specific)
GO:0032182	ubiquitin-like protein binding
GO:0031956	medium-chain fatty acid-CoA ligase activity
GO:0031957	very long-chain fatty acid-CoA ligase activity
GO:0043727	5-amino-4-imidazole carboxylate lyase activity
GO:0046978	TAP1 binding
GO:0030171	voltage-gated proton channel activity
GO:0030170	pyridoxal phosphate binding
GO:0046979	TAP2 binding
GO:0009881	photoreceptor activity
GO:0032181	dinucleotide repeat insertion binding
GO:0050571	1,5-anhydro-D-fructose reductase activity
GO:0001096	TFIIF-class transcription factor complex binding
GO:0001097	TFIIH-class transcription factor complex binding
GO:0001094	TFIID-class transcription factor complex binding
GO:0008184	glycogen phosphorylase activity
GO:0001093	TFIIB-class transcription factor binding
GO:0001091	RNA polymerase II general transcription initiation factor binding
GO:0016863	intramolecular oxidoreductase activity, transposing C=C bonds
GO:0009882	blue light photoreceptor activity
GO:0030273	melanin-concentrating hormone receptor activity
GO:0031883	taste receptor binding
GO:0001099	basal RNA polymerase II transcription machinery binding
GO:0003779	actin binding
GO:0043028	cysteine-type endopeptidase regulator activity involved in apoptotic process
GO:0019780	FAT10 activating enzyme activity
GO:0051978	lysophospholipid
GO:0043021	ribonucleoprotein complex binding
GO:0017076	purine nucleotide binding
GO:0043023	ribosomal large subunit binding
GO:0043022	ribosome binding
GO:0043754	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase activity
GO:0003774	motor activity
GO:0003777	microtubule motor activity
GO:0017070	U6 snRNA binding
GO:0061860	DNA clamp unloader activity
GO:0071566	UFM1 activating enzyme activity
GO:1903135	cupric ion binding
GO:1903136	cuprous ion binding
GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity
GO:0008470	isovaleryl-CoA dehydrogenase activity
GO:0031768	ghrelin receptor binding
GO:1990760	osmolarity-sensing cation channel activity
GO:1990763	arrestin family protein binding
GO:0004921	interleukin-11 receptor activity
GO:0004920	interleukin-10 receptor activity
GO:0004435	phosphatidylinositol phospholipase C activity
GO:0004925	prolactin receptor activity
GO:0070290	N-acylphosphatidylethanolamine-specific phospholipase D activity
GO:0004430	1-phosphatidylinositol 4-kinase activity
GO:0035091	phosphatidylinositol binding
GO:0005432	calcium
GO:0004658	propionyl-CoA carboxylase activity
GO:0005436	sodium
GO:0004438	phosphatidylinositol-3-phosphatase activity
GO:0045131	pre-mRNA branch point binding
GO:0030060	L-malate dehydrogenase activity
GO:0048408	epidermal growth factor binding
GO:0004656	procollagen-proline 4-dioxygenase activity
GO:0048406	nerve growth factor binding
GO:0048407	platelet-derived growth factor binding
GO:0002196	Ser-tRNA(Ala) hydrolase activity
GO:0048403	brain-derived neurotrophic factor binding
GO:0005347	ATP transmembrane transporter activity
GO:0005344	oxygen carrier activity
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0005342	organic acid transmembrane transporter activity
GO:0005343	organic acid
GO:0042056	chemoattractant activity
GO:0008143	poly(A) binding
GO:0008142	oxysterol binding
GO:0008140	cAMP response element binding protein binding
GO:0008929	methylglyoxal synthase activity
GO:0008146	sulfotransferase activity
GO:0045134	uridine-diphosphatase activity
GO:0004699	calcium-independent protein kinase C activity
GO:0004698	calcium-dependent protein kinase C activity
GO:2001070	starch binding
GO:0010855	adenylate cyclase inhibitor activity
GO:0004693	cyclin-dependent protein serine/threonine kinase activity
GO:0004692	cGMP-dependent protein kinase activity
GO:0004691	cAMP-dependent protein kinase activity
GO:0042945	D-serine transmembrane transporter activity
GO:0004697	protein kinase C activity
GO:0050431	transforming growth factor beta binding
GO:0045174	glutathione dehydrogenase (ascorbate) activity
GO:0004329	formate-tetrahydrofolate ligase activity
GO:0031799	type 2 metabotropic glutamate receptor binding
GO:0000121	glycerol-1-phosphatase activity
GO:0047693	ATP diphosphatase activity
GO:0004322	ferroxidase activity
GO:0004321	fatty-acyl-CoA synthase activity
GO:0004320	oleoyl-[acyl-carrier-protein] hydrolase activity
GO:0102320	1,8-cineole 2-exo-monooxygenase activity
GO:0004325	ferrochelatase activity
GO:0004324	ferredoxin-NADP+ reductase activity
GO:0099635	voltage-gated calcium channel activity involved in positive regulation of presynaptic cytosolic calcium levels
GO:0102758	very-long-chain enoyl-CoA reductase activity
GO:0005509	calcium ion binding
GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization
GO:0050480	imidazolonepropionase activity
GO:0005504	fatty acid binding
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0005501	retinoid binding
GO:0005502	11-cis retinal binding
GO:0005503	all-trans retinal binding
GO:0008859	exoribonuclease II activity
GO:0004102	choline O-acetyltransferase activity
GO:0051393	alpha-actinin binding
GO:0140272	exogenous protein binding
GO:1905773	8-hydroxy-2'-deoxyguanosine DNA binding
GO:0004104	cholinesterase activity
GO:0008327	methyl-CpG binding
GO:0004109	coproporphyrinogen oxidase activity
GO:0004108	citrate (Si)-synthase activity
GO:0008320	protein transmembrane transporter activity
GO:0102965	alcohol-forming fatty acyl-CoA reductase activity
GO:0102966	arachidoyl-CoA
GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity
GO:0046923	ER retention sequence binding
GO:0046922	peptide-O-fucosyltransferase activity
GO:0046921	alpha-(1->6)-fucosyltransferase activity
GO:0046920	alpha-(1->3)-fucosyltransferase activity
GO:0005375	copper ion transmembrane transporter activity
GO:0004982	N-formyl peptide receptor activity
GO:0050543	icosatetraenoic acid binding
GO:0016854	racemase and epimerase activity
GO:0016853	isomerase activity
GO:0050544	arachidonic acid binding
GO:0036332	placental growth factor-activated receptor activity
GO:0030379	neurotensin receptor activity, non-G protein-coupled
GO:0102757	NADPH phosphatase activity
GO:0102756	very-long-chain 3-ketoacyl-CoA synthase activity
GO:0004749	ribose phosphate diphosphokinase activity
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:1905394	retromer complex binding
GO:0042799	histone methyltransferase activity (H4-K20 specific)
GO:0102567	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
GO:0102568	phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)
GO:0099122	RNA polymerase II C-terminal domain binding
GO:0004743	pyruvate kinase activity
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity
GO:0004745	retinol dehydrogenase activity
GO:0004744	retinal isomerase activity
GO:0004747	ribokinase activity
GO:0050897	cobalt ion binding
GO:1905172	RISC complex binding
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0106226	peptide 2-hydroxyisobutyryltransferase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0009032	thymidine phosphorylase activity
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003974	UDP-N-acetylglucosamine 4-epimerase activity
GO:0140337	diacylglyceride transfer activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0016936	galactoside binding
GO:0070492	oligosaccharide binding
GO:0031707	endothelin A receptor binding
GO:0071949	FAD binding
GO:0001882	nucleoside binding
GO:0032216	glucosaminyl-phosphatidylinositol O-acyltransferase activity
GO:0032217	riboflavin transmembrane transporter activity
GO:0070700	BMP receptor binding
GO:0004024	alcohol dehydrogenase activity, zinc-dependent
GO:0017081	chloride channel regulator activity
GO:0015350	methotrexate transmembrane transporter activity
GO:0010181	FMN binding
GO:0140339	phosphatidylglycerol transfer activity
GO:0032036	myosin heavy chain binding
GO:0003940	L-iduronidase activity
GO:0032034	myosin II head/neck binding
GO:0003923	GPI-anchor transamidase activity
GO:0070122	isopeptidase activity
GO:0070123	transforming growth factor beta receptor activity, type III
GO:0103026	fructose-1-phosphatase activity
GO:0004020	adenylylsulfate kinase activity
GO:0032038	myosin II heavy chain binding
GO:0099583	neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration
GO:0050061	long-chain-aldehyde dehydrogenase activity
GO:0071837	HMG box domain binding
GO:0051575	5'-deoxyribose-5-phosphate lyase activity
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0015139	alpha-ketoglutarate transmembrane transporter activity
GO:0051378	serotonin binding
GO:0051379	epinephrine binding
GO:0062152	mRNA (cytidine-5-)-methyltransferase activity
GO:0008453	alanine-glyoxylate transaminase activity
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0015130	mevalonate transmembrane transporter activity
GO:0051373	FATZ binding
GO:0015132	prostaglandin transmembrane transporter activity
GO:0051371	muscle alpha-actinin binding
GO:0008459	chondroitin 6-sulfotransferase activity
GO:0051377	mannose-ethanolamine phosphotransferase activity
GO:0015136	sialic acid transmembrane transporter activity
GO:0015137	citrate transmembrane transporter activity
GO:0070012	oligopeptidase activity
GO:0032451	demethylase activity
GO:0032452	histone demethylase activity
GO:0032453	histone demethylase activity (H3-K4 specific)
GO:0070016	armadillo repeat domain binding
GO:0001758	retinal dehydrogenase activity
GO:0015184	L-cystine transmembrane transporter activity
GO:0015647	peptidoglycan transmembrane transporter activity
GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity
GO:0042134	rRNA primary transcript binding
GO:0015643	toxic substance binding
GO:0047325	inositol tetrakisphosphate 1-kinase activity
GO:0032142	single guanine insertion binding
GO:0032143	single thymine insertion binding
GO:0019136	deoxynucleoside kinase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0032145	succinate-semialdehyde dehydrogenase binding
GO:0008115	sarcosine oxidase activity
GO:0043522	leucine zipper domain binding
GO:0019911	structural constituent of myelin sheath
GO:0016597	amino acid binding
GO:0016596	thienylcyclohexylpiperidine binding
GO:0016595	glutamate binding
GO:0016594	glycine binding
GO:0103025	alpha-amylase activity (releasing maltohexaose)
GO:0052717	tRNA-specific adenosine-34 deaminase activity
GO:0061604	molybdopterin-synthase sulfurtransferase activity
GO:0071723	lipopeptide binding
GO:0030697	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity
GO:0045569	TRAIL binding
GO:0033038	bitter taste receptor activity
GO:0045545	syndecan binding
GO:0045547	dehydrodolichyl diphosphate synthase activity
GO:0010521	telomerase inhibitor activity
GO:0044390	ubiquitin-like protein conjugating enzyme binding
GO:0030215	semaphorin receptor binding
GO:0033142	progesterone receptor binding
GO:0052885	all-trans-retinyl-ester hydrolase, 11-cis retinol forming activity
GO:0016209	antioxidant activity
GO:0016208	AMP binding
GO:0033149	FFAT motif binding
GO:0099582	neurotransmitter receptor activity involved in regulation of presynaptic cytosolic calcium ion concentration
GO:0033925	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity
GO:0052884	all-trans-retinyl-palmitate hydrolase, 11-cis retinol forming activity
GO:0003960	NADPH
GO:0047035	testosterone dehydrogenase (NAD+) activity
GO:0097645	amylin binding
GO:0047522	15-oxoprostaglandin 13-oxidase activity
GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity
GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity
GO:0042008	interleukin-18 receptor activity
GO:0019826	oxygen sensor activity
GO:0043236	laminin binding
GO:0019825	oxygen binding
GO:1903231	mRNA binding involved in posttranscriptional gene silencing
GO:0044548	S100 protein binding
GO:0044547	DNA topoisomerase binding
GO:0070892	lipoteichoic acid immune receptor activity
GO:0031710	neuromedin B receptor binding
GO:0019828	aspartic-type endopeptidase inhibitor activity
GO:0019829	ATPase-coupled cation transmembrane transporter activity
GO:0071617	lysophospholipid acyltransferase activity
GO:0071614	linoleic acid epoxygenase activity
GO:0031716	calcitonin receptor binding
GO:0036373	L-fucose mutarotase activity
GO:0030337	DNA polymerase processivity factor activity
GO:0001594	trace-amine receptor activity
GO:0106274	NAD+-protein-arginine ADP-ribosyltransferase activity
GO:0106275	NADP+-protein-arginine ADP-ribosyltransferase activity
GO:0106276	biliberdin reductase NAD+ activity
GO:0106277	biliverdin reductase (NADP+) activity
GO:0016711	flavonoid 3'-monooxygenase activity
GO:0034062	5'-3' RNA polymerase activity
GO:0034061	DNA polymerase activity
GO:0016817	hydrolase activity, acting on acid anhydrides
GO:0030366	molybdopterin synthase activity
GO:0035240	dopamine binding
GO:0002162	dystroglycan binding
GO:0002161	aminoacyl-tRNA editing activity
GO:0035243	protein-arginine omega-N symmetric methyltransferase activity
GO:0070835	chromium ion transmembrane transporter activity
GO:0033814	propanoyl-CoA C-acyltransferase activity
GO:0030368	interleukin-17 receptor activity
GO:0031718	type 1 cannabinoid receptor binding
GO:0035798	2-alkenal reductase (NADP+) activity
GO:0004662	CAAX-protein geranylgeranyltransferase activity
GO:0004856	xylulokinase activity
GO:1903924	estradiol binding
GO:0004092	carnitine O-acetyltransferase activity
GO:0035642	histone methyltransferase activity (H3-R17 specific)
GO:0035643	L-DOPA receptor activity
GO:0035174	histone serine kinase activity
GO:1990422	glyoxalase (glycolic acid-forming) activity
GO:0097243	flavonoid binding
GO:0062078	TSC1-TSC2 complex binding
GO:0003999	adenine phosphoribosyltransferase activity
GO:0031766	type 3 galanin receptor binding
GO:0031765	type 2 galanin receptor binding
GO:0031764	type 1 galanin receptor binding
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0031762	follicle-stimulating hormone receptor binding
GO:0106352	aspartate dehydrogenase NADP activity
GO:0000339	RNA cap binding
GO:0030144	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity
GO:0030145	manganese ion binding
GO:0031769	glucagon receptor binding
GO:0030233	deoxynucleotide transmembrane transporter activity
GO:1902388	ceramide 1-phosphate transfer activity
GO:0035175	histone kinase activity (H3-S10 specific)
GO:0140613	P-type manganese transporter activity
GO:0010858	calcium-dependent protein kinase regulator activity
GO:0010859	calcium-dependent cysteine-type endopeptidase inhibitor activity
GO:0004098	cerebroside-sulfatase activity
GO:0004910	interleukin-1, type II, blocking receptor activity
GO:0010856	adenylate cyclase activator activity
GO:0030338	CMP-N-acetylneuraminate monooxygenase activity
GO:0120020	cholesterol transfer activity
GO:0047677	arachidonate 8(R)-lipoxygenase activity
GO:1990190	peptide-glutamate-N-acetyltransferase activity
GO:0034188	apolipoprotein A-I receptor activity
GO:0004621	glycosylphosphatidylinositol phospholipase D activity
GO:0031895	V1B vasopressin receptor binding
GO:0031894	V1A vasopressin receptor binding
GO:0031896	V2 vasopressin receptor binding
GO:0008613	diuretic hormone activity
GO:0004155	6,7-dihydropteridine reductase activity
GO:0017083	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity
GO:0017080	sodium channel regulator activity
GO:1990518	single-stranded 3'-5' DNA helicase activity
GO:0102131	3-oxo-glutaryl-[acp] methyl ester reductase activity
GO:0035731	dinitrosyl-iron complex binding
GO:0106293	NADH oxidase H202-forming activity
GO:0043014	alpha-tubulin binding
GO:0043015	gamma-tubulin binding
GO:0003746	translation elongation factor activity
GO:0003747	translation release factor activity
GO:0120092	crotonyl-CoA hydratase activity
GO:0003743	translation initiation factor activity
GO:0052926	dol-P-Man
GO:0052927	CTP
GO:0052925	dol-P-Man
GO:0036524	protein deglycase activity
GO:0048306	calcium-dependent protein binding
GO:0033906	hyaluronoglucuronidase activity
GO:0008465	glycerate dehydrogenase activity
GO:0052928	CTP
GO:0052929	ATP
GO:0050647	5-hydroxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding
GO:0106050	tRNA 2'-O-methyltransferase activity
GO:0005523	tropomyosin binding
GO:0047840	dCTP diphosphatase activity
GO:0047847	deoxyuridine phosphorylase activity
GO:0016034	maleylacetoacetate isomerase activity
GO:0047837	D-xylose 1-dehydrogenase (NADP+) activity
GO:0047844	deoxycytidine deaminase activity
GO:0004914	interleukin-5 receptor activity
GO:0004915	interleukin-6 receptor activity
GO:0120153	calcium-dependent carbohydrate binding
GO:0004917	interleukin-7 receptor activity
GO:0030548	acetylcholine receptor regulator activity
GO:0004911	interleukin-2 receptor activity
GO:0004912	interleukin-3 receptor activity
GO:0004913	interleukin-4 receptor activity
GO:0030544	Hsp70 protein binding
GO:0030545	receptor regulator activity
GO:0030546	signaling receptor activator activity
GO:0030547	receptor inhibitor activity
GO:0004918	interleukin-8 receptor activity
GO:0004919	interleukin-9 receptor activity
GO:0106294	NADPH oxidase H202-forming activity
GO:0052812	phosphatidylinositol-3,4-bisphosphate 5-kinase activity
GO:0140575	transmembrane monodehydroascorbate reductase activity
GO:0052810	1-phosphatidylinositol-5-kinase activity
GO:0052816	long-chain acyl-CoA hydrolase activity
GO:0052817	very long chain acyl-CoA hydrolase activity
GO:0052814	medium-chain-aldehyde dehydrogenase activity
GO:0052815	medium-chain acyl-CoA hydrolase activity
GO:0022824	transmitter-gated ion channel activity
GO:0098821	BMP receptor activity
GO:0086087	voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization
GO:0086080	protein binding involved in heterotypic cell-cell adhesion
GO:0086082	cell adhesive protein binding involved in AV node cell-bundle of His cell communication
GO:0086083	cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication
GO:0005355	glucose transmembrane transporter activity
GO:0005354	galactose transmembrane transporter activity
GO:0102773	dihydroceramide kinase activity
GO:0005351	carbohydrate
GO:0005350	pyrimidine nucleobase transmembrane transporter activity
GO:0008138	protein tyrosine/serine/threonine phosphatase activity
GO:0008139	nuclear localization sequence binding
GO:0008137	NADH dehydrogenase (ubiquinone) activity
GO:0008134	transcription factor binding
GO:0008135	translation factor activity, RNA binding
GO:0086039	calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential
GO:0008177	succinate dehydrogenase (ubiquinone) activity
GO:0008131	primary amine oxidase activity
GO:0045148	tripeptide aminopeptidase activity
GO:0061811	ADP-ribosyl cyclase activity
GO:0039552	RIG-I binding
GO:0051722	protein C-terminal methylesterase activity
GO:0050429	calcium-dependent phospholipase C activity
GO:0034875	caffeine oxidase activity
GO:0045142	triplex DNA binding
GO:0031544	peptidyl-proline 3-dioxygenase activity
GO:2001069	glycogen binding
GO:0045145	single-stranded DNA 5'-3' exodeoxyribonuclease activity
GO:0008482	sulfite oxidase activity
GO:0005497	androgen binding
GO:0004359	glutaminase activity
GO:0031781	type 3 melanocortin receptor binding
GO:0004357	glutamate-cysteine ligase activity
GO:0031783	type 5 melanocortin receptor binding
GO:0031782	type 4 melanocortin receptor binding
GO:0004352	glutamate dehydrogenase (NAD+) activity
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	glutamate decarboxylase activity
GO:0004598	peptidylamidoglycolate lyase activity
GO:0005516	calmodulin binding
GO:0005515	protein binding
GO:0004590	orotidine-5'-phosphate decarboxylase activity
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0005519	cytoskeletal regulatory protein binding
GO:0005518	collagen binding
GO:0004594	pantothenate kinase activity
GO:0004595	pantetheine-phosphate adenylyltransferase activity
GO:0004596	peptide alpha-N-acetyltransferase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	endopeptidase activity
GO:0140260	mitochondrial proton-transporting ATP synthase complex binding
GO:0004170	dUTP diphosphatase activity
GO:0051380	norepinephrine binding
GO:0008865	fructokinase activity
GO:0015205	nucleobase transmembrane transporter activity
GO:0008046	axon guidance receptor activity
GO:0008047	enzyme activator activity
GO:0008048	calcium sensitive guanylate cyclase activator activity
GO:0005459	UDP-galactose transmembrane transporter activity
GO:1905030	voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential
GO:0005219	ryanodine-sensitive calcium-release channel activity
GO:0031433	telethonin binding
GO:0031432	titin binding
GO:0016847	1-aminocyclopropane-1-carboxylate synthase activity
GO:0016846	carbon-sulfur lyase activity
GO:0016841	ammonia-lyase activity
GO:0005353	fructose transmembrane transporter activity
GO:0031435	mitogen-activated protein kinase kinase kinase binding
GO:0031434	mitogen-activated protein kinase kinase binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0016849	phosphorus-oxygen lyase activity
GO:0050113	inositol oxygenase activity
GO:0000062	fatty-acyl-CoA binding
GO:0042781	3'-tRNA processing endoribonuclease activity
GO:0004778	succinyl-CoA hydrolase activity
GO:0018271	biotin-protein ligase activity
GO:0102571	[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity
GO:0004775	succinate-CoA ligase (ADP-forming) activity
GO:0004776	succinate-CoA ligase (GDP-forming) activity
GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004771	sterol esterase activity
GO:0004772	sterol O-acyltransferase activity
GO:0004773	steryl-sulfatase activity
GO:0140318	protein transporter activity
GO:0001216	DNA-binding transcription activator activity
GO:0052741	(R)-limonene 6-monooxygenase activity
GO:0140311	protein sequestering activity
GO:0070612	histone methyltransferase activity (H2A-R3 specific)
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0090416	nicotinate transmembrane transporter activity
GO:0008266	poly(U) RNA binding
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0008263	pyrimidine-specific mismatch base pair DNA N-glycosylase activity
GO:0008260	3-oxoacid CoA-transferase activity
GO:0043783	oxidoreductase activity, acting on metal ions, flavin as acceptor
GO:0050080	malonyl-CoA decarboxylase activity
GO:0000104	succinate dehydrogenase activity
GO:0071633	dihydroceramidase activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0008269	JAK pathway signal transduction adaptor activity
GO:0001632	leukotriene B4 receptor activity
GO:2001065	mannan binding
GO:0015349	thyroid hormone transmembrane transporter activity
GO:0001631	cysteinyl leukotriene receptor activity
GO:1990814	DNA/DNA annealing activity
GO:0001635	calcitonin gene-related peptide receptor activity
GO:0000900	translation repressor activity, mRNA regulatory element binding
GO:0015347	sodium-independent organic anion transmembrane transporter activity
GO:0061812	cyclic ADP-ribose hydrolase
GO:0034899	trimethylamine monooxygenase activity
GO:0009020	tRNA (guanosine-2'-O-)-methyltransferase activity
GO:0018478	malonate-semialdehyde dehydrogenase (acetylating) activity
GO:0005026	transforming growth factor beta receptor activity, type II
GO:0018477	benzaldehyde dehydrogenase (NADP+) activity
GO:0005018	platelet-derived growth factor alpha-receptor activity
GO:0102116	laurate hydroxylase activity
GO:0042658	MHC class II protein binding, via antigen binding groove
GO:0032027	myosin light chain binding
GO:0008553	proton-exporting ATPase activity, phosphorylative mechanism
GO:0015552	propionate transmembrane transporter activity
GO:0032841	calcitonin binding
GO:0070139	SUMO-specific endopeptidase activity
GO:0032028	myosin head/neck binding
GO:0070026	nitric oxide binding
GO:0008469	histone-arginine N-methyltransferase activity
GO:0015499	formate transmembrane transporter activity
GO:0008389	coumarin 7-hydroxylase activity
GO:0008460	dTDP-glucose 4,6-dehydratase activity
GO:0001179	RNA polymerase I general transcription initiation factor binding
GO:0031545	peptidyl-proline 4-dioxygenase activity
GO:0008466	glycogenin glucosyltransferase activity
GO:0008467	[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity
GO:0030586	[methionine synthase] reductase activity
GO:0015129	lactate transmembrane transporter activity
GO:0050178	phenylpyruvate tautomerase activity
GO:0015127	bilirubin transmembrane transporter activity
GO:0031543	peptidyl-proline dioxygenase activity
